nome_instancia,execucao,num_tarefas,num_maquinas,matriz_tempos,solucao,makespan,tempo,algoritmo,tempo_medio,tempo_std,tempo_min,tempo_max,tempo_mediana,grupo
car1,0,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0072878729997682,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,1,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.006450070000028,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,2,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0072439949999534,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,3,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0082240900001124,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,4,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0055562610004926,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,5,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0067390829999567,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,6,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0061034899999867,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,7,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0055165979993034,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,8,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0083201950001239,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,9,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0051236830004199,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
car1,10,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.0056797019997247,NEH,0.006751847950044914,0.0012156991130129226,0.0051236830004199,0.0096696239997982,0.0065803749998849005,car
