nome_instancia,execucao,num_tarefas,num_maquinas,matriz_tempos,solucao,makespan,tempo,algoritmo
car1,0,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.1298372679999602,Memético-p10-g10-c20.0%-m10.0%
car1,1,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.10698256400007722,Memético-p10-g10-c20.0%-m10.0%
car1,2,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.08421352499999557,Memético-p10-g10-c20.0%-m10.0%
car1,3,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.07257802699996319,Memético-p10-g10-c20.0%-m10.0%
car1,4,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.08153243100002783,Memético-p10-g10-c20.0%-m10.0%
car1,5,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.07691631800003051,Memético-p10-g10-c20.0%-m10.0%
car1,6,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.09856160499998623,Memético-p10-g10-c20.0%-m10.0%
car1,7,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.10986730800004807,Memético-p10-g10-c20.0%-m10.0%
car1,8,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.1227882610000961,Memético-p10-g10-c20.0%-m10.0%
car1,9,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.1506889359999377,Memético-p10-g10-c20.0%-m10.0%
car1,10,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.11336736099997324,Memético-p10-g10-c20.0%-m10.0%
car1,11,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.136763803000008,Memético-p10-g10-c20.0%-m10.0%
car1,12,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.15621344700002737,Memético-p10-g10-c20.0%-m10.0%
car1,13,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 4, 8, 2, 10, 3, 6, 5, 1, 9]",7038.0,0.12074718200005918,Memético-p10-g10-c20.0%-m10.0%
